iter	Passed	Remaining
755	6406	2067
756	6412	2058
757	6419	2049
758	6427	2040
759	6434	2031
760	6442	2023
761	6449	2014
762	6457	2005
763	6463	1996
764	6471	1988
765	6479	1979
766	6487	1970
767	6494	1961
768	6500	1952
769	6508	1944
770	6515	1935
771	6524	1926
772	6530	1917
773	6538	1909
774	6545	1900
775	6553	1891
776	6560	1882
777	6568	1874
778	6577	1866
779	6586	1857
780	6594	1849
781	6603	1840
782	6612	1832
783	6621	1824
784	6629	1815
785	6638	1807
786	6647	1799
787	6657	1790
788	6664	1782
789	6674	1774
790	6683	1765
791	6691	1757
792	6701	1749
793	6709	1740
794	6718	1732
795	6725	1723
796	6733	1715
797	6740	1706
798	6749	1698
799	6756	1689
800	6763	1680
801	6771	1671
802	6778	1662
803	6786	1654
804	6793	1645
805	6801	1637
806	6808	1628
807	6816	1619
808	6823	1610
809	6831	1602
810	6838	1593
811	6844	1584
812	6852	1576
813	6859	1567
814	6867	1558
815	6873	1550
816	6882	1541
817	6889	1532
818	6897	1524
819	6904	1515
820	6912	1507
821	6919	1498
822	6926	1489
823	6934	1481
824	6941	1472
825	6949	1463
826	6956	1455
827	6964	1446
828	6971	1437
829	6978	1429
830	6985	1420
831	6993	1412
832	7001	1403
833	7007	1394
834	7015	1386
835	7022	1377
836	7030	1369
837	7037	1360
838	7045	1352
839	7052	1343
840	7060	1334
841	7067	1326
842	7074	1317
843	7081	1308
844	7089	1300
845	7098	1292
846	7105	1283
847	7113	1274
848	7119	1266
849	7128	1257
850	7135	1249
851	7143	1240
852	7150	1232
853	7158	1223
854	7165	1215
855	7172	1206
856	7180	1198
857	7187	1189
858	7195	1181
859	7202	1172
860	7210	1164
861	7217	1155
862	7226	1147
863	7233	1138
864	7242	1130
865	7249	1121
866	7257	1113
867	7264	1104
868	7272	1096
869	7279	1087
870	7286	1079
871	7294	1070
872	7301	1062
873	7309	1053
874	7316	1045
875	7325	1036
876	7332	1028
877	7340	1019
878	7347	1011
879	7355	1003
880	7362	994
881	7370	986
882	7377	977
883	7384	968
884	7392	960
885	7399	952
886	7408	943
887	7415	935
888	7423	926
889	7430	918
890	7438	909
891	7444	901
892	7452	892
893	7459	884
894	7466	875
895	7473	867
896	7480	858
897	7488	850
898	7495	842
899	7502	833
900	7510	825
901	7520	817
902	7527	808
903	7535	800
904	7542	791
905	7550	783
906	7557	774
907	7565	766
908	7572	758
909	7579	749
910	7587	741
911	7594	732
912	7602	724
913	7609	715
914	7616	707
915	7625	699
916	7632	690
917	7640	682
918	7647	674
919	7655	665
920	7662	657
921	7669	648
922	7676	640
923	7684	632
924	7691	623
925	7700	615
926	7706	606
927	7714	598
928	7724	590
929	7732	582
930	7741	573
931	7750	565
932	7758	557
933	7768	548
934	7777	540
935	7786	532
936	7796	524
937	7804	515
938	7813	507
939	7822	499
940	7831	491
941	7841	482
942	7850	474
943	7859	466
944	7867	457
945	7874	449
946	7883	441
947	7890	432
948	7898	424
949	7906	416
950	7914	407
951	7922	399
952	7930	391
953	7938	382
954	7946	374
955	7953	366
956	7960	357
957	7967	349
958	7974	340
959	7982	332
960	7989	324
961	7997	315
962	8004	307
963	8012	299
964	8019	290
965	8027	282
966	8035	274
967	8043	265
968	8050	257
969	8057	249
970	8064	240
971	8070	232
972	8079	224
973	8086	215
974	8094	207
975	8101	199
976	8109	190
977	8117	182
978	8125	174
979	8132	165
980	8140	157
981	8148	149
982	8156	141
983	8163	132
984	8170	124
985	8178	116
986	8185	107
987	8193	99
988	8201	91
989	8209	82
990	8217	74
991	8226	66
992	8234	58
993	8241	49
994	8249	41
995	8256	33
996	8263	24
997	8270	16
998	8277	8
999	8284	0
